,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fighting,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,name,attack,defense,hp,capture_rate,sp_attack,sp_defense,speed,base_total,classification,type1,type2,height_m,weight_kg,percentage_male,generation,is_legendary
89,"['Shell Armor', 'Skill Link', 'Overcoat']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Shellder,65,100,30,190,45,25,40,305,Bivalve Pokémon,water,none,0.3,4.0,50.0,1,0
90,"['Shell Armor', 'Skill Link', 'Overcoat']",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,Cloyster,95,180,50,60,85,45,70,525,Bivalve Pokémon,water,ice,1.5,132.5,50.0,1,0
91,['Levitate'],0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,Gastly,35,30,30,190,100,35,80,310,Gas Pokémon,ghost,poison,1.3,0.1,50.0,1,0
92,['Levitate'],0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,Haunter,50,45,45,90,115,55,95,405,Gas Pokémon,ghost,poison,1.6,0.1,50.0,1,0
93,['Cursed Body'],0.25,2.0,1.0,1.0,0.5,0.0,1.0,1.0,2.0,0.5,2.0,1.0,0.0,0.25,2.0,1.0,1.0,1.0,Gengar,65,80,60,45,170,95,130,600,Shadow Pokémon,ghost,poison,1.5,40.5,50.0,1,0
94,"['Rock Head', 'Sturdy', 'Weak Armor']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,Onix,45,160,35,45,30,45,70,385,Rock Snake Pokémon,rock,ground,8.8,210.0,50.0,1,0
95,"['Insomnia', 'Forewarn', 'Inner Focus']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,Drowzee,48,45,60,190,43,90,42,328,Hypnosis Pokémon,psychic,none,1.0,32.4,50.0,1,0
96,"['Insomnia', 'Forewarn', 'Inner Focus']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,Hypno,73,70,85,75,73,115,67,483,Hypnosis Pokémon,psychic,none,1.6,75.6,50.0,1,0
97,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Krabby,105,90,30,225,25,25,50,325,River Crab Pokémon,water,none,0.4,6.5,50.0,1,0
98,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Kingler,130,115,55,60,50,50,75,475,Pincer Pokémon,water,none,1.3,60.0,50.0,1,0
99,"['Soundproof', 'Static', 'Aftermath']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Voltorb,30,50,40,190,55,55,100,330,Ball Pokémon,electric,none,0.5,10.4,genderless,1,0
100,"['Soundproof', 'Static', 'Aftermath']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Electrode,50,70,60,60,80,80,150,490,Ball Pokémon,electric,none,1.2,66.6,genderless,1,0
101,"['Chlorophyll', 'Harvest']",4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,Exeggcute,40,80,60,90,60,45,40,325,Egg Pokémon,grass,psychic,0.4,2.5,50.0,1,0
102,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,Exeggutor,105,85,95,45,125,75,45,530,Coconut Pokémon,grass,psychic,,,50.0,1,0
103,"['Rock Head', 'Lightningrod', 'Battle Armor']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,Cubone,50,95,50,190,40,50,35,320,Lonely Pokémon,ground,none,0.4,6.5,50.0,1,0
104,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,Marowak,80,110,60,75,50,80,45,425,Bone Keeper Pokémon,ground,fire,,,50.0,1,0
105,"['Limber', 'Reckless', 'Unburden']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,Hitmonlee,120,53,50,45,35,110,87,455,Kicking Pokémon,fighting,none,1.5,49.8,100.0,1,0
106,"['Keen Eye', 'Iron Fist', 'Inner Focus']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,Hitmonchan,105,79,50,45,35,110,76,455,Punching Pokémon,fighting,none,1.4,50.2,100.0,1,0
107,"['Own Tempo', 'Oblivious', 'Cloud Nine']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Lickitung,55,75,90,45,60,75,30,385,Licking Pokémon,normal,none,1.2,65.5,50.0,1,0
108,['Levitate'],0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Koffing,65,95,40,190,60,45,35,340,Poison Gas Pokémon,poison,none,0.6,1.0,50.0,1,0
109,['Levitate'],0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,Weezing,90,120,65,60,85,70,60,490,Poison Gas Pokémon,poison,none,1.2,9.5,50.0,1,0
110,"['Lightningrod', 'Rock Head', 'Reckless']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,Rhyhorn,85,95,80,120,30,30,25,345,Spikes Pokémon,ground,rock,1.0,115.0,50.0,1,0
111,"['Lightningrod', 'Rock Head', 'Reckless']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,Rhydon,130,120,105,60,45,45,40,485,Drill Pokémon,ground,rock,1.9,120.0,50.0,1,0
112,"['Natural Cure', 'Serene Grace', 'Healer']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Chansey,5,5,250,30,35,105,50,450,Egg Pokémon,normal,none,1.1,34.6,0.0,1,0
113,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,Tangela,55,115,65,45,100,40,60,435,Vine Pokémon,grass,none,1.0,35.0,50.0,1,0
114,"['Early Bird', 'Scrappy', 'Inner Focus']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Kangaskhan,125,100,105,45,60,100,100,590,Parent Pokémon,normal,none,2.2,80.0,0.0,1,0
115,"['Swift Swim', 'Sniper', 'Damp']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Horsea,40,70,30,225,70,25,60,295,Dragon Pokémon,water,none,0.4,8.0,50.0,1,0
116,"['Poison Point', 'Sniper', 'Damp']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Seadra,65,95,55,75,95,45,85,440,Dragon Pokémon,water,none,1.2,25.0,50.0,1,0
117,"['Swift Swim', 'Water Veil', 'Lightningrod']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Goldeen,67,60,45,225,35,50,63,320,Goldfish Pokémon,water,none,0.6,15.0,50.0,1,0
118,"['Swift Swim', 'Water Veil', 'Lightningrod']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Seaking,92,65,80,60,65,80,68,450,Goldfish Pokémon,water,none,1.3,39.0,50.0,1,0
119,"['Illuminate', 'Natural Cure', 'Analytic']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Staryu,45,55,30,225,70,55,85,340,Starshape Pokémon,water,none,0.8,34.5,genderless,1,0
120,"['Illuminate', 'Natural Cure', 'Analytic']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,Starmie,75,85,60,60,100,85,115,520,Mysterious Pokémon,water,psychic,1.1,80.0,genderless,1,0
121,"['Soundproof', 'Filter', 'Technician']",1.0,1.0,0.0,1.0,1.0,0.25,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,Mr. Mime,45,65,40,45,100,120,90,460,Barrier Pokémon,psychic,fairy,1.3,54.5,50.0,1,0
122,"['Swarm', 'Technician', 'Steadfast']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,Scyther,110,80,70,45,55,80,105,500,Mantis Pokémon,bug,flying,1.5,56.0,50.0,1,0
123,"['Oblivious', 'Forewarn', 'Dry Skin']",2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,Jynx,50,35,65,45,115,95,95,455,Humanshape Pokémon,ice,psychic,1.4,40.6,0.0,1,0
124,"['Static', 'Vital Spirit']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Electabuzz,83,57,65,45,95,85,105,490,Electric Pokémon,electric,none,1.1,30.0,75.4,1,0
125,"['Flame Body', 'Vital Spirit']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Magmar,95,57,65,45,100,85,93,495,Spitfire Pokémon,fire,none,1.3,44.5,75.4,1,0
126,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,Pinsir,155,120,65,45,65,90,105,600,Stagbeetle Pokémon,bug,none,1.5,55.0,50.0,1,0
127,"['Intimidate', 'Anger Point', 'Sheer Force']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Tauros,100,95,75,45,40,70,110,490,Wild Bull Pokémon,normal,none,1.4,88.4,100.0,1,0
128,"['Swift Swim', 'Rattled']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Magikarp,10,55,20,255,15,20,80,200,Fish Pokémon,water,none,0.9,10.0,50.0,1,0
129,"['Intimidate', 'Moxie']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,Gyarados,155,109,95,45,70,130,81,640,Atrocious Pokémon,water,flying,6.5,235.0,50.0,1,0
130,"['Water Absorb', 'Shell Armor', 'Hydration']",1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,Lapras,85,80,130,45,85,95,60,535,Transport Pokémon,water,ice,2.5,220.0,50.0,1,0
131,"['Limber', 'Imposter']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Ditto,48,48,48,35,48,48,48,288,Transform Pokémon,normal,none,0.3,4.0,genderless,1,0
132,"['Run Away', 'Adaptability', 'Anticipation']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Eevee,55,50,55,45,45,65,55,325,Evolution Pokémon,normal,none,0.3,6.5,88.1,1,0
133,"['Water Absorb', 'Hydration']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Vaporeon,65,60,130,45,110,95,65,525,Bubble Jet Pokémon,water,none,1.0,29.0,88.1,1,0
134,"['Volt Absorb', 'Quick Feet']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Jolteon,65,60,65,45,110,95,130,525,Lightning Pokémon,electric,none,0.8,24.5,88.1,1,0
135,"['Flash Fire', 'Guts']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Flareon,130,60,65,45,95,110,65,525,Flame Pokémon,fire,none,0.9,25.0,88.1,1,0
136,"['Trace', 'Download', 'Analytic']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Porygon,60,70,65,45,85,75,40,395,Virtual Pokémon,normal,none,0.8,36.5,genderless,1,0
137,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,Omanyte,40,100,35,45,90,55,35,355,Spiral Pokémon,rock,water,0.4,7.5,88.1,1,0
138,"['Swift Swim', 'Shell Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,Omastar,60,125,70,45,115,70,55,495,Spiral Pokémon,rock,water,1.0,35.0,88.1,1,0
139,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,Kabuto,80,90,30,45,55,45,55,355,Shellfish Pokémon,rock,water,0.5,11.5,88.1,1,0
140,"['Swift Swim', 'Battle Armor', 'Weak Armor']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,Kabutops,115,105,60,45,65,70,80,495,Shellfish Pokémon,rock,water,1.3,40.5,88.1,1,0
141,"['Rock Head', 'Pressure', 'Unnerve']",0.5,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0,Aerodactyl,135,85,80,45,70,95,150,615,Fossil Pokémon,rock,flying,1.8,59.0,88.1,1,0
142,"['Immunity', 'Thick Fat', 'Gluttony']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Snorlax,110,65,160,25,65,110,30,540,Sleeping Pokémon,normal,none,2.1,460.0,88.1,1,0
143,"['Pressure', 'Snow Cloak']",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,Articuno,85,100,90,3,95,125,85,580,Freeze Pokémon,ice,flying,1.7,55.4,genderless,1,1
144,"['Pressure', 'Static']",0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0,Zapdos,90,85,90,3,125,90,100,580,Electric Pokémon,electric,flying,1.6,52.6,genderless,1,1
145,"['Pressure', 'Flame Body']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,Moltres,100,90,90,3,125,85,90,580,Flame Pokémon,fire,flying,2.0,60.0,genderless,1,1
146,"['Shed Skin', 'Marvel Scale']",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,Dratini,64,45,41,45,50,50,50,300,Dragon Pokémon,dragon,none,1.8,3.3,50.0,1,0
147,"['Shed Skin', 'Marvel Scale']",1.0,1.0,2.0,0.5,2.0,1.0,0.5,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,Dragonair,84,65,61,45,70,70,70,420,Dragon Pokémon,dragon,none,4.0,16.5,50.0,1,0
148,"['Inner Focus', 'Multiscale']",0.5,1.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5,Dragonite,134,95,91,45,100,100,80,600,Dragon Pokémon,dragon,flying,2.2,210.0,50.0,1,0
149,"['Pressure', 'Unnerve']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,Mewtwo,150,70,106,3,194,120,140,780,Genetic Pokémon,psychic,none,2.0,122.0,genderless,1,1
150,['Synchronize'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,Mew,100,100,100,45,100,100,100,600,New Species Pokémon,psychic,none,0.4,4.0,genderless,1,1
151,"['Overgrow', 'Leaf Guard']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,Chikorita,49,65,45,45,49,65,45,318,Leaf Pokémon,grass,none,0.9,6.4,88.1,2,0
152,"['Overgrow', 'Leaf Guard']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,Bayleef,62,80,60,45,63,80,60,405,Leaf Pokémon,grass,none,1.2,15.8,88.1,2,0
153,"['Overgrow', 'Leaf Guard']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,Meganium,82,100,80,45,83,100,80,525,Herb Pokémon,grass,none,1.8,100.5,88.1,2,0
154,"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Cyndaquil,52,43,39,45,60,50,65,309,Fire Mouse Pokémon,fire,none,0.5,7.9,88.1,2,0
155,"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Quilava,64,58,58,45,80,65,80,405,Volcano Pokémon,fire,none,0.9,19.0,88.1,2,0
156,"['Blaze', 'Flash Fire']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,Typhlosion,84,78,78,45,109,85,100,534,Volcano Pokémon,fire,none,1.7,79.5,88.1,2,0
157,"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Totodile,65,64,50,45,44,48,43,314,Big Jaw Pokémon,water,none,0.6,9.5,88.1,2,0
158,"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Croconaw,80,80,65,45,59,63,58,405,Big Jaw Pokémon,water,none,1.1,25.0,88.1,2,0
159,"['Torrent', 'Sheer Force']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,Feraligatr,105,100,85,45,79,83,78,530,Big Jaw Pokémon,water,none,2.3,88.8,88.1,2,0
160,"['Run Away', 'Keen Eye', 'Frisk']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sentret,46,34,35,255,35,45,20,215,Scout Pokémon,normal,none,0.8,6.0,50.0,2,0
161,"['Run Away', 'Keen Eye', 'Frisk']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Furret,76,64,85,90,45,55,90,415,Long Body Pokémon,normal,none,1.8,32.5,50.0,2,0
162,"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Hoothoot,30,30,60,255,36,56,50,262,Owl Pokémon,normal,flying,0.7,21.2,50.0,2,0
163,"['Insomnia', 'Keen Eye', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,Noctowl,50,50,100,90,86,96,70,452,Owl Pokémon,normal,flying,1.6,40.8,50.0,2,0
164,"['Swarm', 'Early Bird', 'Rattled']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,Ledyba,20,30,40,255,40,80,55,265,Five Star Pokémon,bug,flying,1.0,10.8,50.0,2,0
165,"['Swarm', 'Early Bird', 'Iron Fist']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,Ledian,35,50,55,90,55,110,85,390,Five Star Pokémon,bug,flying,1.4,35.6,50.0,2,0
166,"['Swarm', 'Insomnia', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,Spinarak,60,40,40,255,40,40,30,250,String Spit Pokémon,bug,poison,0.5,8.5,50.0,2,0
167,"['Swarm', 'Insomnia', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,Ariados,90,70,70,90,60,70,40,400,Long Leg Pokémon,bug,poison,1.1,33.5,50.0,2,0
168,"['Inner Focus', 'Infiltrator']",0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,Crobat,90,80,85,90,70,80,130,535,Bat Pokémon,poison,flying,1.8,75.0,50.0,2,0
169,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,Chinchou,38,38,75,190,56,56,67,330,Angler Pokémon,water,electric,0.5,12.0,50.0,2,0
170,"['Volt Absorb', 'Illuminate', 'Water Absorb']",1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,0.25,0.5,Lanturn,58,58,125,75,76,76,67,460,Light Pokémon,water,electric,1.2,22.5,50.0,2,0
171,"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Pichu,40,15,20,190,35,35,60,205,Tiny Mouse Pokémon,electric,none,0.3,2.0,50.0,2,0
172,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,Cleffa,25,28,50,150,45,55,15,218,Star Shape Pokémon,fairy,none,0.3,3.0,24.6,2,0
173,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,Igglybuff,30,15,90,170,40,20,15,210,Balloon Pokémon,normal,fairy,0.3,1.0,24.6,2,0
174,"['Hustle', 'Serene Grace', 'Super Luck']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,Togepi,20,65,35,190,40,65,20,245,Spike Ball Pokémon,fairy,none,0.3,1.5,88.1,2,0
175,"['Hustle', 'Serene Grace', 'Super Luck']",0.25,0.5,0.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,Togetic,40,85,55,75,80,105,40,405,Happiness Pokémon,fairy,flying,0.6,3.2,88.1,2,0
176,"['Synchronize', 'Early Bird', 'Magic Bounce']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,Natu,50,45,40,190,70,45,70,320,Little Bird Pokémon,psychic,flying,0.2,2.0,50.0,2,0
177,"['Synchronize', 'Early Bird', 'Magic Bounce']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,Xatu,75,70,65,75,95,70,95,470,Mystic Pokémon,psychic,flying,1.5,15.0,50.0,2,0
178,"['Static', 'Plus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Mareep,40,40,55,235,65,45,35,280,Wool Pokémon,electric,none,0.6,7.8,50.0,2,0
179,"['Static', 'Plus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Flaaffy,55,55,70,120,80,60,45,365,Wool Pokémon,electric,none,0.8,13.3,50.0,2,0
180,"['Static', 'Plus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,Ampharos,95,105,90,45,165,110,45,610,Light Pokémon,electric,none,1.4,61.5,50.0,2,0
